"District";"Latitude";"Longitude"
"20";41.985938016;-87.701674828
"7";41.768519102;-87.666649148
"8";41.774680696;-87.685956862
"22";41.705248988;-87.720894724
"20";41.990767317;-87.67186845
"15";41.873852904;-87.762471107
"7";41.773073163;-87.636797594
"6";41.746259974;-87.663332294
"11";41.875290275;-87.723900523
"12";41.883988282;-87.678310533
"19";41.968609432;-87.650104582
"5";41.693129309;-87.627917696
"7";41.764433097;-87.637081657
"5";41.707111733;-87.627482875
"9";41.802272513;-87.663585317
"8";41.780275778;-87.684888666
"15";41.87746245;-87.763195405
"8";41.799648706;-87.744169195
"19";41.940814799;-87.650349923
"14";41.911957717;-87.70485527
"4";41.751290207;-87.552887215
"9";41.822419341;-87.702059168
"9";41.795031239;-87.667041898
"8";41.772810678;-87.68090197
"3";41.772581369;-87.611804821
"19";41.969048214;-87.657939671
